RPM (rpm),Boost deviation (PSI),Rail pressure dev. (MPa),Total Negative Timing Correction,IAT (*C),Health Score
2327,4.8,-0.23,0.0,35,15
2392,6.3,-0.18,0.0,35,15
2378,4.1,-0.21,0.0,35,15
2500,6.8,-0.06,-4.8,35,15
2531,6.6,0.02,-4.8,35,15
2589,6.2,-0.08,-11.1,35,15
2676,4.0,0.01,-11.1,35,15
2709,6.9,0.04,-11.1,35,15
2794,5.4,-0.1,-11.1,36,15
2880,5.7,-0.32,-11.1,36,15
2906,6.0,-0.04,-11.1,36,15
2930,5.6,-0.09,-11.1,36,15
3036,6.5,-0.61,-11.1,36,15
3089,6.1,-0.9,-11.1,36,15
3141,6.5,-1.2,-11.1,36,15
3192,5.8,-1.29,-11.1,37,15
3291,6.1,-1.56,-11.1,37,15
3327,6.5,-1.81,-11.1,37,15
3420,6.2,-2.71,-10.5,37,15
3438,5.7,-3.42,-10.5,37,15
3508,4.8,-4.04,-9.6,37,15
3599,4.7,-3.96,-9.6,37,15
3620,4.3,-4.53,-9.6,37,15
3699,4.6,-4.46,-9.6,38,15
3775,5.2,-5.03,-9.0,38,15
3836,4.4,-4.92,-7.8,38,15
3870,6.2,-5.67,-7.8,38,15
3933,5.4,-5.32,-7.8,38,15
3996,6.4,-4.97,-7.199999999999999,38,15
4076,6.7,-4.98,-6.6,38,15
4118,4.4,-4.4,-6.6,39,15
4181,6.5,-4.44,-6.6,39,15
4266,6.5,-4.36,-6.6,39,15
4330,6.3,-4.47,-5.7,39,15
4394,5.3,-4.35,-4.8,39,15
4429,4.7,-4.2,-4.8,39,15
4499,5.6,-2.79,-4.8,39,15
4546,5.6,-2.49,-3.9,40,15
4588,6.5,-2.23,-3.3,40,15
4668,5.4,-2.04,-3.3,40,15
4752,5.5,-1.57,-3.3,40,15
4790,4.1,-1.43,-3.3,40,15
4887,5.1,0.72,-2.4,40,15
4907,4.0,-0.51,-2.4,40,15
4987,6.4,0.59,-1.7999999999999998,40,15
5060,6.2,-0.29,-1.7999999999999998,41,15
5123,5.4,-0.02,-1.7999999999999998,41,15
5186,5.3,0.11,-1.7999999999999998,41,15
5205,6.5,-0.17,-0.6,41,15
5282,5.4,0.02,-0.6,41,15
5331,6.7,-0.11,-0.6,41,15
5407,6.9,-0.26,-0.6,41,15
5456,6.2,-0.51,0.0,42,15
5526,4.6,-0.35,0.0,42,15
5557,4.3,-0.31,0.0,42,15
5680,6.3,-0.2,0.0,42,15
5685,6.3,-0.46,0.0,42,15
5790,5.0,-0.45,0.0,42,15
5809,4.9,-0.27,0.0,42,15
5938,4.5,-0.48,0.0,42,15
5949,4.6,-0.51,0.0,43,15
6015,5.8,-0.09,0.0,43,15
6040,5.6,-0.36,0.0,43,15
6178,6.7,-0.34,-6.6,43,15
6195,4.4,-0.3,-6.6,43,15
6262,6.0,-0.11,-6.6,43,15
6293,5.4,-0.16,-5.7,43,15
6394,4.3,-0.16,-5.7,44,15
6480,5.8,-0.29,-5.7,44,15
6523,4.3,-0.06,-12.0,44,15
6554,6.2,0.17,-12.0,44,15
6632,5.6,-0.05,-12.0,44,15
6684,4.0,-0.11,-12.0,44,15
6720,6.1,-0.11,-12.0,44,15
6787,5.5,0.06,-12.0,45,15
