RPM (rpm),Boost deviation (PSI),Rail pressure dev. (MPa),Total Negative Timing Correction,IAT (*C),Health Score
2300,-1.0,-0.23,0.0,35,30
2375,-0.3,-0.18,0.0,35,30
2401,0.2,-0.21,0.0,35,30
2481,-0.1,-0.06,-2.3,35,30
2528,1.0,0.02,-2.3,35,30
2617,-0.9,-0.08,-5.3,35,30
2661,0.2,0.01,-5.3,35,30
2721,-0.3,0.04,-5.3,35,30
2794,-0.1,-0.1,-5.3,36,30
2855,1.0,-0.32,-5.3,36,30
2896,0.5,-0.04,-5.3,36,30
2961,0.5,-0.09,-5.3,36,30
3023,1.0,-0.61,-5.3,36,30
3097,-0.9,-0.9,-5.3,36,30
3134,-0.5,-1.2,-5.3,36,30
3206,-0.4,-1.29,-5.3,37,30
3280,-0.1,-1.56,-5.3,37,30
3330,0.7,-1.81,-5.3,37,30
3407,0.1,-2.71,-4.9,37,30
3455,-0.3,-3.42,-4.9,37,30
3522,-0.5,-4.04,-4.6,37,30
3590,-0.5,-3.96,-4.6,37,30
3650,-0.8,-4.53,-4.6,37,30
3698,-0.9,-4.46,-4.6,38,30
3777,-0.4,-5.03,-4.2,38,30
3823,0.1,-4.92,-3.8,38,30
3900,-0.1,-5.67,-3.8,38,30
3947,-0.6,-5.32,-3.8,38,30
3992,-0.4,-4.97,-3.5,38,30
4063,0.6,-4.98,-3.1,38,30
4119,0.0,-4.4,-3.1,39,30
4190,0.3,-4.44,-3.1,39,30
4262,-0.4,-4.36,-3.1,39,30
4324,-0.1,-4.47,-2.7,39,30
4383,0.3,-4.35,-2.3,39,30
4416,0.3,-4.2,-2.3,39,30
4501,0.2,-2.79,-2.3,39,30
4544,0.1,-2.49,-1.9,40,30
4594,-0.9,-2.23,-1.6,40,30
4662,-0.6,-2.04,-1.6,40,30
4716,-0.5,-1.57,-1.6,40,30
4809,0.2,-1.43,-1.6,40,30
4851,-0.3,0.72,-1.2,40,30
4922,0.0,-0.51,-1.2,40,30
4973,0.3,0.59,-0.8,40,30
5033,-0.7,-0.29,-0.8,41,30
5108,-0.7,-0.02,-0.8,41,30
5162,-1.0,0.11,-0.8,41,30
5208,0.3,-0.17,-0.4,41,30
5294,0.6,0.02,-0.4,41,30
5337,0.6,-0.11,-0.4,41,30
5395,-0.1,-0.26,-0.4,41,30
5459,-0.5,-0.51,0.0,42,30
5527,-0.8,-0.35,0.0,42,30
5565,0.8,-0.31,0.0,42,30
5652,-0.7,-0.2,0.0,42,30
5712,-0.4,-0.46,0.0,42,30
5784,-0.8,-0.45,0.0,42,30
5826,0.3,-0.27,0.0,42,30
5903,-0.4,-0.48,0.0,42,30
5965,-0.6,-0.51,0.0,43,30
6014,-0.3,-0.09,0.0,43,30
6056,0.9,-0.36,0.0,43,30
6145,-0.5,-0.34,-3.0,43,30
6180,-0.5,-0.3,-3.0,43,30
6257,0.6,-0.11,-3.0,43,30
6299,-0.9,-0.16,-2.7,43,30
6385,-0.9,-0.16,-2.7,44,30
6449,-0.8,-0.29,-2.7,44,30
6503,-0.0,-0.06,-5.7,44,30
6572,0.1,0.17,-5.7,44,30
6632,-0.8,-0.05,-5.7,44,30
6683,0.9,-0.11,-5.7,44,30
6732,-0.4,-0.11,-5.7,44,30
6786,-0.4,0.06,-5.7,45,30
