Accel Ped. Pos. (%),RPM (rpm),Boost deviation (PSI),Rail pressure dev. (MPa),Total Negative Timing Correction,IAT (*C),Health Score
100.0,2325,5.4,-0.28,0.0,40,20
100.0,2348,5.2,-0.02,0.0,40,20
100.0,2377,5.4,-0.06,0.0,40,20
100.0,2437,5.0,-0.08,0.0,40,20
100.0,2506,4.9,-0.14,0.0,40,20
100.0,2584,4.5,-0.21,0.0,40,20
100.0,2695,5.2,-0.32,0.0,40,20
100.0,2904,4.5,0.02,0.0,40,20
100.0,3018,4.7,0.51,0.0,40,20
100.0,3176,4.7,0.48,0.0,40,20
100.0,3268,5.0,0.23,0.0,40,20
100.0,3310,5.0,0.56,0.0,40,20
100.0,3342,5.0,0.4,0.0,40,20
100.0,3396,5.3,0.05,0.0,40,20
100.0,3478,4.7,-0.01,0.0,40,20
100.0,3424,4.8,0.26,0.0,40,20
100.0,3386,5.0,0.26,0.0,40,20
100.0,3503,5.2,0.18,0.0,40,20
100.0,3602,5.1,-0.19,0.0,40,20
100.0,3584,4.7,-0.04,0.0,40,20
100.0,3600,4.9,0.18,0.0,40,20
100.0,3632,5.2,-0.18,0.0,40,20
100.0,3710,5.1,0.14,0.0,40,20
100.0,3774,4.5,0.28,0.0,40,20
100.0,3906,5.0,0.27,0.0,40,20
100.0,3956,5.1,0.33,0.0,40,20
100.0,4024,4.8,0.29,0.0,40,20
100.0,4077,5.1,0.31,0.0,40,20
100.0,4192,4.9,-0.06,0.0,40,20
100.0,4210,5.2,0.19,0.0,40,20
100.0,4245,5.2,0.22,0.0,40,20
100.0,4406,5.4,0.09,0.0,40,20
100.0,4466,4.7,-0.08,0.0,40,20
100.0,4509,4.6,-0.36,0.0,40,20
100.0,4600,5.0,-0.44,0.0,40,20
100.0,4600,5.1,-0.06,0.0,40,20
100.0,4667,4.8,-0.04,0.0,40,20
100.0,4812,5.2,0.19,0.0,40,20
100.0,4905,4.9,-0.28,0.0,40,20
100.0,4846,4.6,-0.14,0.0,40,20
100.0,4838,5.1,-0.11,0.0,40,20
100.0,4949,5.4,-0.24,0.0,40,20
100.0,5028,4.8,-0.14,0.0,40,20
100.0,5044,4.8,-0.36,0.0,40,20
100.0,5054,5.4,-0.26,0.0,40,20
100.0,5150,4.9,-0.1,0.0,40,20
100.0,5209,5.5,0.05,0.0,40,20
100.0,5266,4.9,0.18,0.0,40,20
100.0,5304,4.9,-0.13,0.0,40,20
100.0,5367,4.9,-0.24,0.0,40,20
100.0,5473,5.5,-0.3,0.0,40,20
100.0,5490,5.2,0.13,0.0,40,20
100.0,5515,4.6,-0.01,0.0,40,20
100.0,5541,5.0,-0.13,0.0,40,20
100.0,5584,4.7,0.01,0.0,40,20
100.0,5640,5.0,-0.06,0.0,40,20
100.0,5702,4.6,0.11,0.0,40,20
100.0,5745,5.3,0.18,0.0,40,20
100.0,5716,5.3,-0.13,0.0,40,20
100.0,5846,5.4,-0.24,0.0,40,20
100.0,5875,4.5,-0.11,0.0,40,20
100.0,5872,4.6,0.13,0.0,40,20
100.0,5926,5.0,-0.02,0.0,40,20
100.0,5993,4.5,0.13,0.0,40,20
100.0,6062,4.9,0.09,0.0,40,20
100.0,6047,5.4,-0.01,0.0,40,20
100.0,6099,5.2,-0.16,0.0,40,20
100.0,6108,5.0,-0.07,0.0,40,20
100.0,6176,5.1,-0.18,0.0,40,20
100.0,6190,4.9,0.12,0.0,40,20
100.0,6234,4.7,-0.12,0.0,40,20
100.0,6308,5.4,-0.22,0.0,40,20
100.0,6332,5.3,-0.07,0.0,40,20
100.0,6391,5.0,0.28,0.0,40,20
100.0,6404,5.3,-0.01,0.0,40,20
100.0,6470,4.9,0.06,0.0,40,20
100.0,6474,5.1,0.04,0.0,40,20
100.0,6510,4.7,-0.07,0.0,40,20
100.0,6533,5.2,0.08,0.0,40,20
100.0,6587,5.0,-0.07,0.0,40,20
100.0,6609,4.7,0.16,0.0,40,20
100.0,6642,4.8,0.02,0.0,40,20
100.0,6653,5.4,0.2,0.0,40,20
100.0,6772,5.4,-0.03,0.0,40,20
100.0,6788,5.2,-0.23,0.0,40,20
100.0,6795,4.6,-0.24,0.0,40,20
