Accel Ped. Pos. (%),RPM (rpm),Boost deviation (PSI),Rail pressure dev. (MPa),Total Negative Timing Correction,IAT (*C),Health Score
100.0,2304,4.7,-6.87,-3.0,31,50
100.0,2344,4.1,-6.62,-3.0,31,50
100.0,2431,2.5,-7.31,-3.0,31,50
100.0,2498,1.5,-6.55,-3.0,30,50
100.0,2642,0.5,-6.86,-2.7,30,50
100.0,2801,0.3,-6.84,-2.7,30,50
100.0,2990,0.3,-6.53,-2.7,30,50
100.0,3176,0.0,-6.8,-2.7,30,50
100.0,3355,-0.8,-7.34,-2.7,30,50
100.0,3551,-1.3,-6.86,-2.7,30,50
100.0,3540,-1.5,-6.57,-2.7,30,50
100.0,3714,-1.4,-6.82,-2.7,30,50
100.0,3596,-0.9,-7.4,-2.3,30,50
100.0,3460,-1.3,-7.35,-2.3,29,50
100.0,3436,-1.9,-7.5,-2.3,29,50
100.0,3361,-1.3,-7.25,-2.3,29,50
100.0,3312,-0.5,-7.29,-2.3,29,50
100.0,3438,0.3,-6.52,-1.9,29,50
100.0,3470,0.7,-7.34,-1.9,29,50
100.0,3526,0.8,-7.0,-1.9,29,50
100.0,3612,0.6,-7.24,-1.9,29,50
100.0,3636,0.4,-7.08,-1.9,29,50
100.0,3694,0.1,-7.24,-1.5,29,50
100.0,3822,-0.8,-6.76,-1.5,29,50
100.0,3886,-1.1,-6.51,-1.5,29,50
100.0,3946,-1.9,-7.23,-1.2,29,50
100.0,3972,-2.2,-7.11,-1.2,29,50
100.0,4042,-1.7,-7.37,-1.2,29,50
100.0,4094,-1.3,-7.32,-0.8,29,50
100.0,4275,-0.7,-6.85,-0.4,29,50
100.0,4306,-0.7,-7.03,-0.4,29,50
100.0,4396,-0.7,-6.54,-0.4,29,50
100.0,4382,-0.5,-7.32,-0.4,29,50
100.0,4448,-0.4,-6.62,0.0,29,50
100.0,4573,0.0,-6.53,0.0,30,50
100.0,4582,0.3,-6.59,0.0,30,50
100.0,4678,0.2,-7.48,0.0,30,50
100.0,4759,-0.3,-6.91,0.0,30,50
100.0,4834,-0.7,-6.7,0.0,30,50
100.0,4827,-0.6,-6.74,0.0,30,50
100.0,4998,-0.5,-6.79,0.0,31,50
100.0,5028,-0.4,-6.67,0.0,31,50
100.0,5017,-0.2,-7.3,0.0,31,50
100.0,5114,-0.1,-6.75,0.0,31,50
100.0,5152,0.0,-7.12,0.0,31,50
100.0,5226,0.2,-7.39,0.0,32,50
100.0,5272,0.2,-6.88,0.0,32,50
100.0,5306,0.2,-7.0,0.0,32,50
100.0,5362,0.3,-6.86,0.0,32,50
100.0,5408,0.3,-7.34,0.0,32,50
100.0,5426,0.4,-6.8,0.0,32,50
100.0,5472,0.3,-7.31,0.0,32,50
100.0,5516,0.3,-7.44,0.0,32,50
100.0,5605,0.4,-7.07,0.0,32,50
100.0,5606,0.4,-6.83,0.0,33,50
100.0,5659,0.4,-7.11,0.0,33,50
100.0,5710,0.6,-6.77,0.0,33,50
100.0,5798,0.6,-7.29,0.0,33,50
100.0,5827,0.6,-7.46,0.0,34,50
100.0,5873,0.6,-7.24,0.0,34,50
100.0,5887,0.6,-6.79,0.0,34,50
100.0,5938,0.7,-7.33,0.0,34,50
100.0,5962,0.6,-7.01,0.0,34,50
100.0,6024,0.6,-7.28,0.0,34,50
100.0,6090,0.7,-6.66,0.0,34,50
100.0,6068,0.7,-6.85,0.0,34,50
100.0,6078,0.7,-6.71,0.0,34,50
100.0,6146,0.7,-6.91,0.0,34,50
100.0,6194,0.7,-6.93,0.0,35,50
100.0,6222,0.7,-7.07,0.0,35,50
100.0,6306,0.8,-7.21,0.0,35,50
100.0,6308,0.8,-7.5,0.0,36,50
100.0,6332,0.8,-7.1,0.0,36,50
100.0,6360,0.8,-7.21,0.0,36,50
100.0,6438,0.9,-7.21,0.0,36,50
100.0,6464,0.9,-6.99,0.0,37,50
100.0,6455,0.9,-6.51,0.0,37,50
100.0,6512,0.8,-6.69,0.0,37,50
100.0,6529,0.9,-6.82,0.0,37,50
100.0,6589,0.9,-7.14,0.0,37,50
100.0,6622,0.9,-7.25,0.0,38,50
100.0,6628,0.9,-6.55,0.0,38,50
100.0,6672,0.8,-7.26,0.0,38,50
100.0,6726,0.9,-7.25,0.0,38,50
100.0,6742,0.8,-6.57,0.0,38,50
100.0,6763,0.8,-7.46,0.0,38,50
100.0,6798,0.8,-7.36,0.0,38,50
