RPM (rpm),Boost deviation (PSI),Rail pressure dev. (MPa),Total Negative Timing Correction,IAT (*C),Health Score
2318,-1.0,-0.23,0.0,35,25
2377,-0.3,-0.18,0.0,35,25
2394,0.2,-0.21,0.0,35,25
2483,-0.1,-0.06,-3.9,35,25
2516,1.0,0.02,-3.9,35,25
2601,-0.9,-0.08,-9.299999999999999,35,25
2660,0.2,0.01,-9.299999999999999,35,25
2714,-0.3,0.04,-9.299999999999999,35,25
2808,-0.1,-0.1,-9.299999999999999,36,25
2865,1.0,-0.32,-9.299999999999999,36,25
2891,0.5,-0.04,-9.299999999999999,36,25
2944,0.5,-0.09,-9.299999999999999,36,25
3029,1.0,-0.61,-9.299999999999999,36,25
3109,-0.9,-0.9,-9.299999999999999,36,25
3148,-0.5,-1.2,-9.299999999999999,36,25
3188,-0.4,-1.29,-9.299999999999999,37,25
3284,-0.1,-1.56,-9.299999999999999,37,25
3328,0.7,-1.81,-9.299999999999999,37,25
3413,0.1,-2.71,-8.7,37,25
3436,-0.3,-3.42,-8.7,37,25
3525,-0.5,-4.04,-8.1,37,25
3603,-0.5,-3.96,-8.1,37,25
3631,-0.8,-4.53,-8.1,37,25
3687,-0.9,-4.46,-8.1,38,25
3771,-0.4,-5.03,-7.5,38,25
3830,0.1,-4.92,-6.6,38,25
3884,-0.1,-5.67,-6.6,38,25
3933,-0.6,-5.32,-6.6,38,25
4006,-0.4,-4.97,-6.0,38,25
4082,0.6,-4.98,-5.3999999999999995,38,25
4116,0.0,-4.4,-5.3999999999999995,39,25
4181,0.3,-4.44,-5.3999999999999995,39,25
4272,-0.4,-4.36,-5.3999999999999995,39,25
4327,-0.1,-4.47,-4.8,39,25
4387,0.3,-4.35,-3.9,39,25
4412,0.3,-4.2,-3.9,39,25
4486,0.2,-2.79,-3.9,39,25
4542,0.1,-2.49,-3.3,40,25
4607,-0.9,-2.23,-2.6999999999999997,40,25
4660,-0.6,-2.04,-2.6999999999999997,40,25
4734,-0.5,-1.57,-2.6999999999999997,40,25
4797,0.2,-1.43,-2.6999999999999997,40,25
4870,-0.3,0.72,-2.1,40,25
4913,0.0,-0.51,-2.1,40,25
4975,0.3,0.59,-1.5,40,25
5042,-0.7,-0.29,-1.5,41,25
5127,-0.7,-0.02,-1.5,41,25
5178,-1.0,0.11,-1.5,41,25
5225,0.3,-0.17,-0.6,41,25
5300,0.6,0.02,-0.6,41,25
5348,0.6,-0.11,-0.6,41,25
5410,-0.1,-0.26,-0.6,41,25
5459,-0.5,-0.51,0.0,42,25
5515,-0.8,-0.35,0.0,42,25
5553,0.8,-0.31,0.0,42,25
5664,-0.7,-0.2,0.0,42,25
5702,-0.4,-0.46,0.0,42,25
5779,-0.8,-0.45,0.0,42,25
5811,0.3,-0.27,0.0,42,25
5921,-0.4,-0.48,0.0,42,25
5965,-0.6,-0.51,0.0,43,25
6019,-0.3,-0.09,0.0,43,25
6050,0.9,-0.36,0.0,43,25
6161,-0.5,-0.34,-5.3999999999999995,43,25
6176,-0.5,-0.3,-5.3999999999999995,43,25
6271,0.6,-0.11,-5.3999999999999995,43,25
6290,-0.9,-0.16,-4.8,43,25
6387,-0.9,-0.16,-4.8,44,25
6462,-0.8,-0.29,-4.8,44,25
6513,-0.0,-0.06,-9.9,44,25
6552,0.1,0.17,-9.9,44,25
6629,-0.8,-0.05,-9.9,44,25
6673,0.9,-0.11,-9.9,44,25
6718,-0.4,-0.11,-9.9,44,25
6772,-0.4,0.06,-9.9,45,25
