Accel Ped. Pos. (%),RPM (rpm),Boost deviation (PSI),Rail pressure dev. (MPa),Total Negative Timing Correction,IAT (*C),Health Score
100,2362,8.2,0.05,0,36,40
100,2418,7.3,-0.13,0,36,40
100,2458,6.5,-0.31,0,35,40
100,2516,5.5,-0.03,-2.3,35,40
100,2570,3.8,0.04,-2.3,35,40
100,2666,1.5,-0.07,-5.3,35,40
100,2744,0.6,-0.06,-5.3,35,40
100,2842,-0.4,0.17,-5.3,35,40
100,2938,-0.7,0.07,-5.3,35,40
100,3056,-0.7,0.25,-5.3,35,40
100,3120,-0.9,0.51,-5.3,35,40
100,3216,-1,0.17,-5.3,35,40
100,3290,-1,0.18,-5.3,35,40
100,3348,-0.8,0.7,-5.3,35,40
100,3546,-0.7,0.44,-5.3,34,40
100,3608,-0.5,0.51,-5.3,34,40
100,3652,-0.4,0.89,-5.3,34,40
100,3654,-0.4,0.84,-5.3,34,40
100,3514,-0.7,0.83,-4.9,34,40
100,3507,-1.2,1,-4.9,34,40
100,3542,-1.1,0.9,-4.6,34,40
100,3690,-0.3,0.75,-4.6,34,40
100,3748,0.1,0.01,-4.6,34,40
100,3782,0.1,-0.33,-4.6,34,40
100,3756,0,-0.56,-4.2,34,40
100,3852,-0.5,-0.03,-3.8,34,40
100,4000,-1.1,0.16,-3.8,34,40
100,4079,-1.1,0.24,-3.8,34,40
100,4148,-0.9,-0.21,-3.5,34,40
100,4183,-0.7,-0.28,-3.1,34,40
100,4116,-0.6,0.05,-3.1,34,40
100,4243,-0.6,-0.29,-3.1,34,40
100,4288,-0.4,0,-3.1,34,40
100,4297,-0.4,-0.27,-2.7,34,40
100,4392,-0.2,-0.25,-2.3,34,40
100,4562,0.2,-0.65,-2.3,34,40
100,4547,0.9,-0.76,-2.3,34,40
100,4586,0.7,-0.29,-1.9,34,40
100,4720,-0.8,-0.12,-1.6,34,40
100,4772,-1.2,-0.14,-1.6,34,40
100,4826,-1.3,0.05,-1.6,34,40
100,4852,-1.1,-0.03,-1.6,34,40
100,4904,-0.9,-0.41,-1.2,34,40
100,4906,-0.8,-0.32,-1.2,34,40
100,4958,-0.6,-0.39,-0.8,34,40
100,5040,-0.5,-0.1,-0.8,35,40
100,5060,-0.4,-0.15,-0.8,35,40
100,5104,-0.3,-0.37,-0.8,35,40
100,5149,-0.3,-0.33,-0.4,35,40
100,5214,-0.2,-0.08,-0.4,35,40
100,5290,-0.2,0.19,-0.4,35,40
100,5276,-0.2,-0.13,-0.4,35,40
100,5356,0,-0.05,0,35,40
100,5406,0,-0.09,0,36,40
100,5422,0.1,0.1,0,36,40
100,5515,0.1,-0.06,0,36,40
100,5546,0.1,0,0,36,40
100,5564,0.1,0.05,0,36,40
100,5597,0.1,-0.2,0,36,40
100,5665,0.3,-0.25,0,37,40
100,5720,0.4,-0.05,0,37,40
100,5768,0.4,0.21,0,37,40
100,5818,0.5,0.02,0,37,40
100,5856,0.5,-0.06,-3,37,40
100,5932,0.5,0.21,-3,38,40
100,5941,0.5,0.02,-3,38,40
100,6002,0.6,-0.03,-2.7,38,40
100,6014,0.6,-0.18,-2.7,38,40
100,6060,0.6,-0.05,-2.7,38,40
100,6120,0.6,-0.1,-5.7,38,40
100,6136,0.6,-0.07,-5.7,38,40
100,6164,0.6,-0.06,-5.7,38,40
100,6201,0.6,0.03,-5.7,38,40
100,6210,0.6,0.03,-5.7,38,40
100,6254,0.6,0.19,-5.7,39,40
