Accel Ped. Pos. (%),RPM (rpm),Boost deviation (PSI),Rail pressure dev. (MPa),Total Negative Timing Correction,IAT (*C),Health Score
100.0,2347,7.5,0.09,0.0,39,70
100.0,2378,6.7,-0.31,0.0,39,70
100.0,2415,6.1,-0.17,0.0,39,70
100.0,2456,5.5,-0.02,0.0,39,70
100.0,2615,2.8,-0.01,0.0,39,70
100.0,2660,1.2,-0.22,0.0,38,70
100.0,2876,-0.1,0.28,0.0,38,70
100.0,3000,-0.3,0.16,0.0,38,70
100.0,3043,-0.3,0.24,0.0,38,70
100.0,3065,-0.3,0.37,0.0,38,70
100.0,3108,-0.5,0.54,0.0,38,70
100.0,3317,-1.0,0.63,0.0,38,70
100.0,3396,-1.0,1.04,0.0,38,70
100.0,3447,-0.9,1.3,0.0,38,70
100.0,3515,-0.9,1.28,0.0,38,70
100.0,3575,-0.9,1.99,0.0,38,70
100.0,3574,-1.0,1.8,0.0,38,70
100.0,3664,-1.1,2.46,0.0,38,70
100.0,3679,-1.4,2.71,0.0,38,70
100.0,3704,-1.8,3.09,0.0,38,70
100.0,3612,-2.1,3.13,0.0,38,70
100.0,3544,-2.5,4.09,0.0,38,70
100.0,3499,-1.3,3.96,0.0,38,70
100.0,3502,-0.6,3.4,0.0,38,70
100.0,3542,-0.1,3.39,0.0,38,70
100.0,3606,0.6,2.25,0.0,38,70
100.0,3640,0.6,1.41,0.0,38,70
100.0,3708,0.5,1.22,0.0,38,70
100.0,3792,0.4,0.82,0.0,38,70
100.0,3842,0.3,0.56,0.0,38,70
100.0,3893,0.1,0.12,0.0,38,70
100.0,3934,-0.9,0.26,0.0,38,70
100.0,3922,-1.3,0.5,0.0,38,70
100.0,3976,-2.1,0.64,0.0,38,70
100.0,4070,-2.3,0.62,0.0,38,70
100.0,4074,-2.0,0.44,0.0,38,70
100.0,4178,-1.5,0.31,0.0,38,70
100.0,4218,-0.7,0.42,0.0,38,70
100.0,4288,-0.6,0.14,0.0,38,70
100.0,4341,-0.6,0.04,0.0,38,70
100.0,4353,-0.6,0.22,0.0,38,70
100.0,4379,-0.7,-0.17,0.0,38,70
100.0,4412,-0.9,0.01,0.0,38,70
100.0,4500,-1.0,-0.17,0.0,38,70
100.0,4524,-1.0,-0.53,0.0,38,70
100.0,4612,-1.1,-0.38,0.0,38,70
100.0,4657,-0.4,-0.86,0.0,38,70
100.0,4774,-0.3,-0.54,0.0,38,70
100.0,4810,-0.5,-0.46,0.0,38,70
100.0,4873,-0.5,-0.34,0.0,38,70
100.0,4840,-0.4,-0.52,0.0,38,70
100.0,4872,-0.4,-0.36,0.0,38,70
100.0,4876,-0.3,-0.34,0.0,38,70
100.0,4961,-0.2,-0.24,0.0,38,70
100.0,5026,-0.2,-0.3,0.0,38,70
100.0,5027,-0.1,-0.36,0.0,38,70
100.0,5117,-0.1,-0.45,0.0,38,70
100.0,5154,0.0,0.0,0.0,38,70
100.0,5170,0.2,0.05,0.0,38,70
100.0,5154,0.2,-0.36,0.0,38,70
100.0,5188,0.2,-0.1,0.0,38,70
100.0,5201,0.2,-0.15,0.0,38,70
100.0,5275,0.2,-0.02,0.0,38,70
100.0,5358,0.2,-0.16,0.0,38,70
100.0,5346,0.3,0.13,0.0,38,70
100.0,5406,0.3,-0.19,0.0,39,70
100.0,5466,0.3,0.12,0.0,39,70
100.0,5482,0.4,0.19,0.0,39,70
100.0,5508,0.4,-0.08,0.0,39,70
100.0,5610,0.5,0.16,0.0,39,70
100.0,5620,0.5,0.18,0.0,39,70
100.0,5634,0.6,-0.07,0.0,39,70
100.0,5648,0.6,0.06,0.0,40,70
100.0,5718,0.6,-0.02,0.0,40,70
100.0,5863,0.7,-0.05,0.0,40,70
100.0,5906,0.7,-0.18,0.0,40,70
100.0,5916,0.8,0.05,0.0,40,70
100.0,5896,0.8,-0.1,0.0,40,70
100.0,5956,0.7,0.07,-3.0,40,70
100.0,5954,0.7,-0.29,-3.0,40,70
100.0,5962,0.7,0.02,-3.0,40,70
100.0,5991,0.6,-0.01,-3.0,40,70
100.0,6122,0.7,0.12,-3.0,40,70
100.0,6114,0.8,-0.09,-3.0,40,70
100.0,6142,0.8,-0.22,-2.7,40,70
100.0,6192,0.8,0.02,-2.7,40,70
100.0,6232,0.8,0.2,-2.7,41,70
100.0,6216,0.8,-0.09,-2.7,41,70
100.0,6242,0.8,-0.11,-2.7,41,70
100.0,6287,0.8,0.07,-2.7,41,70
100.0,6326,0.8,0.0,-2.3,41,70
100.0,6383,0.9,0.16,-2.3,41,70
100.0,6354,0.9,-0.1,-2.3,42,70
100.0,6379,0.9,0.1,-2.3,42,70
100.0,6402,0.8,0.14,-2.3,42,70
100.0,6406,0.9,0.19,-2.3,42,70
100.0,6432,0.9,-0.15,-2.3,42,70
100.0,6486,0.9,-0.19,-1.9,42,70
100.0,6518,0.9,0.06,-1.9,42,70
100.0,6548,0.9,0.15,-1.9,42,70
100.0,6561,0.9,-0.06,-1.9,43,70
100.0,6587,1.0,-0.18,-1.9,43,70
100.0,6650,1.0,-0.03,-1.5,43,70
100.0,6675,1.0,0.07,-1.5,43,70
100.0,6702,1.0,-0.07,-1.5,43,70
100.0,6747,1.0,0.23,-1.5,44,70
100.0,6760,0.9,0.16,-1.5,44,70
